normalized_name;type_text;occurrence;id_doc;longitude;latitude
Acebedo;Textos Narrativos;1;Moreno_320;43.03916666666667;-5.116111111111112
Adra;Textos Narrativos;3;"Moreno_180 (2); Moreno_179";36.75;-3.0166666666667
Alaejos;Textos Narrativos;2;"Moreno_083; Moreno_082";41.307222222222;-5.2155555555556
Alajeró;Poesías y Canciones;1;Moreno_253;28.0619917;-17.2383666
Alameda;Textos Narrativos;1;Moreno_104;37.2084981;-4.6606136
Alba;Textos Narrativos;4;"Moreno_023 (2); Moreno_230; Moreno_231";40.6187451;-1.3455814
Alba de Tormes;Textos Dramáticos y Teatrales;1;Moreno_003;40.824722222222;-5.5161111111111
Albacete;Textos Narrativos;4;"Moreno_333 (2); Moreno_334 (2)";38.995555555556;-1.8558333333333
Albania;Textos Narrativos;18;"Moreno_236 (5); Moreno_237 (5); Moreno_187; Moreno_153; Moreno_209; Moreno_154; Moreno_073; Moreno_272; Moreno_239; Moreno_210";41.0;20.0
Alberique;Textos Narrativos;1;Moreno_294;39.116666666667;-0.52111111111111
Alcalá de Henares;Textos Narrativos;1;Moreno_031;40.481815;-3.364305
Alcañiz;Textos Diversos;1;Moreno_355;41.050254;-0.1329565
Alcobilla;Textos Narrativos;1;Moreno_342;38.039236;-4.05056
Alcolea;Textos Narrativos;2;"Moreno_104; Moreno_103";36.966666666667;-2.95
Alcoy;Poesías y Canciones;2;Moreno_120 (2);38.698333333333;-0.47361111111111
Alcántara;Textos Narrativos;1;Moreno_326;39.718611111111;-6.8838888888889
Alejandría;Poesías y Canciones;2;"Moreno_138; Moreno_203";31.1975;29.8925
Alemania;Textos Narrativos;3;"Moreno_292; Moreno_061; Moreno_239";51.0;10.0
Alfocea;Textos Narrativos;2;"Moreno_333; Moreno_334";41.72454222559295;-0.9513816589800328
Algeciras;Poesías y Canciones;1;Moreno_335;36.1275;-5.4538888888889
Alhambra;Textos Narrativos;5;"Moreno_179 (2); Moreno_180 (2); Moreno_311";38.8983204;-3.0535507
Alicante;Textos Narrativos;11;"Moreno_224 (6); Moreno_020 (3); Moreno_292; Moreno_040";38.345277777778;-0.48305555555556
Almagro;Textos Narrativos;1;Moreno_292;38.888238;-3.7118218
Almazán;Poesías y Canciones;1;Moreno_228;41.485833333333;-2.5330555555556
Almería;Poesías y Canciones;9;"Moreno_049 (2); Moreno_048 (2); Moreno_035; Moreno_259; Moreno_338; Moreno_228; Moreno_374";36.84;-2.4675
América;Poesías y Canciones;1;Moreno_058;19.0;-96.0
Andalucía;Textos Narrativos;22;"Moreno_294 (3); Moreno_271 (2); Moreno_176 (2); Moreno_179; Moreno_261; Moreno_314; Moreno_262; Moreno_074; Moreno_075; Moreno_268; Moreno_184; Moreno_334; Moreno_269; Moreno_333; Moreno_182; Moreno_181; Moreno_180; Moreno_177";37.46;-4.16
Andújar;Textos Narrativos;2;"Moreno_292; Moreno_303";38.0392362;-4.0505603
Angola;Textos Narrativos;1;Moreno_361;-12.35;17.35
Antequera;Textos Narrativos;23;"Moreno_153 (5); Moreno_154 (5); Moreno_206 (4); Moreno_207 (4); Moreno_191; Moreno_190; Moreno_104; Moreno_089; Moreno_300";37.0183652;-4.5596649
Antioquía;Textos Narrativos;1;Moreno_298;36.2025;36.160555555555554
Aragón;Textos Narrativos;10;"Moreno_334 (5); Moreno_333 (4); Moreno_319";41.0;-1.0
Aranjuez;Textos Narrativos;3;"Moreno_151; Moreno_132; Moreno_133";40.033333333333;-3.6027777777778
Archidona;Textos Narrativos;2;"Moreno_104; Moreno_103";37.0954031;-4.390629
Arcos de la Frontera;Textos Narrativos;8;"Moreno_075 (3); Moreno_074 (3); Moreno_302; Moreno_239";36.7482937;-5.8063128
Argel;Textos Narrativos;38;"Moreno_224 (7); Moreno_153 (5); Moreno_129 (5); Moreno_289 (5); Moreno_154 (4); Moreno_368 (3); Moreno_026; Moreno_184; Moreno_221; Moreno_222; Moreno_322; Moreno_321; Moreno_212; Moreno_170; Moreno_239";36.776388888889;3.0586111111111
Armenia;Textos Narrativos;1;Moreno_026;40.383333;44.95
Arriate;Textos Narrativos;2;Moreno_176 (2);36.7991421;-5.1407457
Asia;Poesías y Canciones;2;"Moreno_091; Moreno_371";43.68111111111112;87.33111111111111
Asturias;Poesías y Canciones;1;Moreno_228;43.333333333333;-6.0
Atienza;Poesías y Canciones;1;Moreno_228;41.199166666667;-2.87
Austria;Textos Narrativos;24;"Moreno_026 (12); Moreno_168 (4); Moreno_167 (4); Moreno_230; Moreno_231; Moreno_054; Moreno_360";48.0;14.0
Babilonia;Textos Narrativos;2;"Moreno_168; Moreno_167";32.5425;44.42111111111111
Badajoz;Textos Narrativos;3;"Moreno_303; Moreno_010; Moreno_011";38.880277777778;-6.9752777777778
Baena;Textos Narrativos;2;Moreno_314 (2);37.6194451;-4.3260458
Baeza;Textos Dramáticos y Teatrales;1;Moreno_021;37.983333333333;-3.4666666666667
Baraona;Textos Dramáticos y Teatrales;1;Moreno_021;41.295277777778;-2.6572222222222
Barbastro;Poesías y Canciones;1;Moreno_335;42.033333333333;0.11666666666667
Barcelona;Textos Narrativos;46;"Moreno_322 (9); Moreno_321 (9); Moreno_210 (8); Moreno_209 (7); Moreno_110 (4); Moreno_212 (4); Moreno_020; Moreno_333; Moreno_334; Moreno_289; Moreno_039";41.3825;2.1769444444444
Bargas;Textos Narrativos;13;"Moreno_321 (7); Moreno_322 (6)";39.94;-4.0194444444444
Baviera;Poesías y Canciones;1;Moreno_203;49.07861111111111;11.385555555555555
Bayona;Textos Narrativos;1;Moreno_129;42.1199257;-8.8500865
Baza;Textos Narrativos;1;Moreno_164;37.4888637;-2.7709805
Bañuelos de Bureba;Textos Narrativos;1;Moreno_360;42.500833333333;-3.2805555555556
Belchite;Textos Narrativos;2;"Moreno_333; Moreno_334";41.3065445;-0.7546355
Belmonte de Miranda;Textos Narrativos;2;Moreno_068 (2);43.2723496;-6.26096088446
Belén;Poesías y Canciones;7;"Moreno_025 (6); Moreno_240";31.704444444444;35.206111111111
Benavente;Poesías y Canciones;1;Moreno_228;42.0048668;-5.6756156
Berbería;Textos Narrativos;1;Moreno_289;31.172821;-7.336248
Berga;Textos Narrativos;1;Moreno_039;42.1;1.8455555555556
Berlanga;Poesías y Canciones;1;Moreno_228;38.282777777778;-5.8291666666667
Bilbao;Poesías y Canciones;10;"Moreno_343 (8); Moreno_354; Moreno_228";43.262222222222;-2.9533333333333
Bolonia;Textos Narrativos;2;Moreno_066 (2);44.493888888889;11.342777777778
Brabante Septentrional;Textos Narrativos;4;Moreno_112 (4);51.63333333333333;05.janv
Brasil;Textos Narrativos;1;Moreno_239;-14.0;-53.0
Brest;Textos Narrativos;1;Moreno_294;48.39;-4.4869444444444
Buenos Aires;Poesías y Canciones;3;"Moreno_035 (2); Moreno_259";-34.599722222222;-58.381944444444
Bugarra;Textos Narrativos;1;Moreno_294;39.609722222222;-0.77333333333333
Bugía;Textos Narrativos;3;Moreno_065 (3);36.75111111111111;5.064166666666667
Burgos;Textos Narrativos;1;Moreno_068;42.340833333333;-3.6997222222222
Cabo Negro;Textos Narrativos;1;Moreno_337;35.67027778;-5.285
Cabra;Textos Narrativos;7;"Moreno_147; Moreno_181; Moreno_182; Moreno_131; Moreno_130; Moreno_276; Moreno_300";37.4718153;-4.4335616
Cafarnaúm;Textos Narrativos;1;Moreno_076;32.881111111111;35.575
Calatayud;Textos Narrativos;4;"Moreno_341 (2); Moreno_333; Moreno_334";41.35;-1.633333
California;Poesías y Canciones;1;Moreno_283;37.0;-120.0
Calvario;Textos Diversos;5;"Moreno_106; Moreno_105; Moreno_101; Moreno_186; Moreno_150";31.778611111111;35.229444444444
Campillos;Textos Narrativos;2;Moreno_300 (2);37.0475793;-4.8626422
Canarias;Textos Narrativos;5;"Moreno_063 (4); Moreno_318";28.536;-15.749
Canaán;Textos Narrativos;1;Moreno_076;32.766667;35.333333
Cantabria;Textos Narrativos;1;Moreno_337;43.333333333333;-4.0
Cantillana;Poesías y Canciones;1;Moreno_228;37.6088766;-5.8244449
Capadocia;Textos Narrativos;1;Moreno_026;38.670556;34.839167
Carabanchel Alto;Textos Narrativos;1;Moreno_184;40.371097222222;-3.7508555555556
Carboneras;Poesías y Canciones;1;Moreno_354;37.0004633;-1.8918946
Cardeña;Textos Dramáticos y Teatrales;1;Moreno_029;38.2703085;-4.3227324
Caria;Textos Narrativos;1;Moreno_360;37.5;28.0
Carmona;Textos Narrativos;6;"Moreno_206 (2); Moreno_207 (2); Moreno_212; Moreno_365";37.471111111111;-5.6422222222222
Carpio del Campo;Textos Narrativos;2;"Moreno_303; Moreno_089";41.2126514;-5.10906
Carrión de los Condes;Textos Narrativos;1;Moreno_068;42.338888888889;-4.6019444444444
Cartagena;Textos Narrativos;14;"Moreno_020 (4); Moreno_017 (3); Moreno_176 (2); Moreno_177 (2); Moreno_224; Moreno_180; Moreno_104";37.6;-0.98194444444444
Cartago;Textos Narrativos;1;Moreno_270;36.852558;10.323461
Caspe;Textos Narrativos;2;"Moreno_333; Moreno_103";41.2366709;-0.0395734
Castilla la Vieja;Textos Narrativos;1;Moreno_318;42.343461;-3.696373
Castilla y León;Textos Diversos;1;Moreno_016;41.754444444444445;-4.781944444444444
Castilleja de la Cuesta;Textos Narrativos;2;Moreno_276 (2);37.386389;-6.051667
Castillejos;Poesías y Canciones;1;Moreno_335;35.841383;-5.358682
Cataluña;Textos Narrativos;4;"Moreno_020; Moreno_010; Moreno_011; Moreno_039";41.8375;1.537777777777778
Caudiel;Textos Narrativos;1;Moreno_294;39.9473348;-0.5683653
Cazalla de la Sierra;Poesías y Canciones;1;Moreno_228;37.932017;-5.759627
Cañete;Textos Narrativos;3;"Moreno_176 (2); Moreno_177";40.041797;-1.6490269
Cañete la Real;Textos Narrativos;4;"Moreno_176 (2); Moreno_177 (2)";36.953459;-5.02543
Cerezo de Río Tirón;Textos Narrativos;8;"Moreno_179; Moreno_180; Moreno_368; Moreno_337; Moreno_121; Moreno_320; Moreno_122; Moreno_160";42.491111111111;-3.1355555555556
Ceuta;Textos Narrativos;15;"Moreno_322 (4); Moreno_321 (3); Moreno_164 (3); Moreno_314 (2); Moreno_184; Moreno_104; Moreno_103";35.886667;-5.3
Chiclana de la Frontera;Textos Diversos;3;"Moreno_226 (2); Moreno_041";36.416666666667;-6.15
Chipre;Textos Narrativos;1;Moreno_319;35.0;33.0
Churriana de la Vega;Textos Narrativos;1;Moreno_017;37.147777777778;-3.6461111111111
Ciudad Real;Poesías y Canciones;3;Moreno_228 (3);38.983333333333;-3.9166666666667
Ciudad Rodrigo;Textos Narrativos;1;Moreno_303;40.596944444444;-6.5225
Ciudad del Vaticano;Textos Narrativos;1;Moreno_070;41.904;12.453
Coca;Poesías y Canciones;1;Moreno_228;41.217777777778;-4.5222222222222
Collado de la Vera;Textos Dramáticos y Teatrales;1;Moreno_282;40.0573294;-5.7209445
Colombia;Poesías y Canciones;1;Moreno_203;4.0;-73.25
Constantinopla;Textos Narrativos;10;"Moreno_187 (2); Moreno_308 (2); Moreno_026; Moreno_184; Moreno_168; Moreno_046; Moreno_167; Moreno_174";41.0125;28.98
Cruz del Coso;Textos Narrativos;1;Moreno_292;41.65;-0.88333333333333
Cuarte de Huerva;Textos Diversos;4;"Moreno_366 (2); Moreno_367 (2)";41.5935919;-0.9388829
Cuba;Poesías y Canciones;2;"Moreno_035; Moreno_259";22.0;-79.5
Cuenca;Poesías y Canciones;2;"Moreno_354; Moreno_228";40.071666666667;-2.135
Cádiz;Textos Narrativos;21;"Moreno_170 (9); Moreno_314 (2); Moreno_369; Moreno_368; Moreno_356; Moreno_292; Moreno_131; Moreno_130; Moreno_121; Moreno_057; Moreno_122; Moreno_201";36.535;-6.2975
Cólquida;Textos Dramáticos y Teatrales;1;Moreno_194;42.26666667;42.0
Córdoba;Textos Narrativos;40;"Moreno_007 (12); Moreno_089 (7); Moreno_121 (4); Moreno_122 (4); Moreno_271 (2); Moreno_303 (2); Moreno_077 (2); Moreno_009; Moreno_319; Moreno_134; Moreno_314; Moreno_300; Moreno_010; Moreno_011";37.883333333333;-4.7666666666667
Cúllar;Textos Narrativos;1;Moreno_294;37.583611111111;-2.5763888888889
Departamento de Jalapa;Textos Narrativos;1;Moreno_123;14.633889;-89.981111
Despeñaperros;Textos Narrativos;1;Moreno_184;38.40178;-3.49979
Dinamarca;Textos Narrativos;41;"Moreno_237 (16); Moreno_236 (15); Moreno_285 (8); Moreno_073; Moreno_013";56.0;10.0
Ebro;Textos Narrativos;2;"Moreno_333; Moreno_334";43.0375;-4.37
Egipto;Textos Narrativos;10;"Moreno_316 (4); Moreno_298 (2); Moreno_076 (2); Moreno_200; Moreno_360";27.0;29.0
El Cairo;Textos Narrativos;2;"Moreno_026; Moreno_174";30.044444444444444;31.23583333333333
El Puerto de Santa María;Textos Narrativos;1;Moreno_369;36.601468;-6.2381494
El Salvador;Textos Narrativos;3;"Moreno_118; Moreno_117; Moreno_364";13.668889;-88.866111
El Viso del Alcor;Poesías y Canciones;4;"Moreno_354; Moreno_343; Moreno_335; Moreno_339";37.388611111111;-5.7188888888889
Eslavonia;Textos Narrativos;4;"Moreno_230; Moreno_026; Moreno_231; Moreno_073";45.45;17.916666666667
Esparta;Textos Narrativos;5;"Moreno_285 (4); Moreno_187";37.081944444444;22.423611111111
España;Textos Narrativos;172;"Moreno_023 (13); Moreno_122 (9); Moreno_121 (9); Moreno_153 (8); Moreno_154 (8); Moreno_209 (5); Moreno_210 (5); Moreno_026 (5); Moreno_170 (5); Moreno_168 (4); Moreno_318 (4); Moreno_039 (4); Moreno_167 (4); Moreno_180 (3); Moreno_117 (3); Moreno_118 (3); Moreno_110 (3); Moreno_068 (3); Moreno_173 (3); Moreno_224 (3); Moreno_179 (3); Moreno_319 (3); Moreno_134 (2); Moreno_289 (2); Moreno_243 (2); Moreno_294 (2); Moreno_311 (2); Moreno_310 (2); Moreno_242 (2); Moreno_337 (2); Moreno_190 (2); Moreno_368 (2); Moreno_127 (2); Moreno_191 (2); Moreno_357 (2); Moreno_011; Moreno_314; Moreno_103; Moreno_275; Moreno_212; Moreno_010; Moreno_231; Moreno_326; Moreno_156; Moreno_147; Moreno_230; Moreno_360; Moreno_361; Moreno_017; Moreno_201; Moreno_089; Moreno_129; Moreno_074; Moreno_320; Moreno_040; Moreno_051; Moreno_284; Moreno_046; Moreno_196; Moreno_141; Moreno_296; Moreno_073; Moreno_327; Moreno_008; Moreno_305; Moreno_020; Moreno_142; Moreno_065; Moreno_075; Moreno_061; Moreno_174";40.2;-3.5
Estepona;Textos Diversos;1;Moreno_226;36.433055555556;-5.1330555555556
Extremadura;Textos Narrativos;2;"Moreno_083; Moreno_082";39.2;-6.15
Filipinas;Textos Diversos;3;"Moreno_041; Moreno_366; Moreno_367";12.0;123.0
Flandes;Textos Narrativos;9;"Moreno_026 (2); Moreno_174 (2); Moreno_156; Moreno_057; Moreno_010; Moreno_011; Moreno_239";51.0;04.mai
Florencia;Textos Narrativos;1;Moreno_026;43.771388888889;11.254166666667
Francia;Textos Narrativos;36;"Moreno_046 (4); Moreno_118 (4); Moreno_117 (4); Moreno_358 (4); Moreno_187 (3); Moreno_061 (3); Moreno_168 (2); Moreno_084 (2); Moreno_305 (2); Moreno_167 (2); Moreno_057; Moreno_265; Moreno_264; Moreno_262; Moreno_300; Moreno_261";47.0;2.0
Frigia;Textos Narrativos;2;"Moreno_285; Moreno_174";39.0;31.0
Frías;Textos Narrativos;15;"Moreno_207 (8); Moreno_206 (7)";42.761388888889;-3.2941666666667
Fuente del Arco;Textos Narrativos;2;"Moreno_083; Moreno_082";38.1525;-5.8966666666667
Fuente del Potro;Textos Narrativos;1;Moreno_303;37.88115833;-4.77492778
Gabaldón;Textos Narrativos;2;"Moreno_083; Moreno_082";39.6261519;-1.9449722
Galera;Textos Narrativos;1;Moreno_110;37.743055555556;-2.5513888888889
Galia;Textos Narrativos;1;Moreno_112;46.5;02.sept
Galicia;Textos Dramáticos y Teatrales;1;Moreno_029;42.755;-7.866111111111111
Galilea;Textos Narrativos;3;"Moreno_277; Moreno_316; Moreno_076";42.348055555556;-2.2358333333333
Gante;Textos Narrativos;2;"Moreno_061; Moreno_239";51.05361111111111;3.725277777777778
Genil;Textos Narrativos;1;Moreno_311;37.69352;-5.316539
Gerona;Textos Narrativos;1;Moreno_289;41.983333333333;2.8166666666667
Gestalgar;Textos Narrativos;2;Moreno_294 (2);39.6044915;-0.8337822
Getsemaní;Textos Diversos;1;Moreno_150;31.779419;35.239425
Gibraltar;Textos Narrativos;13;"Moreno_075 (3); Moreno_074 (3); Moreno_292 (2); Moreno_284; Moreno_296; Moreno_303; Moreno_176; Moreno_177";36.14;-5.35
Gijón;Poesías y Canciones;1;Moreno_228;43.52931;-5.67732
Ginebra;Textos Narrativos;4;"Moreno_304 (2); Moreno_233; Moreno_232";46.2;juin.15
Golfo de Corinto;Textos Narrativos;3;Moreno_026 (3);38.2;22.mai
