index,id_doc,original_name,id_wkd,type_place,coord,normalized_name,latitude,longitude,shortTitle,pubPlace,printer,date,type_text,genre,url
702,Moreno_227,SEVILLA,Q8717,Pueblos/ciudades/regiones,"37.383333333333,-5.9833333333333",Sevilla,37.383333333333,-5.9833333333333,Nueva relación jocosa del patán de Sevilla,Carmona (Sevilla),José María Moreno,1850-1859,Relaciones,Profano,https://desenrollandoelcordel.unige.ch/Pliegos/Moreno_227.xml
703,Moreno_227,Triana,Q957828,Pueblos/ciudades/regiones,"37.383580555556,-6.0052",Triana,37.383580555556,-6.0052,Nueva relación jocosa del patán de Sevilla,Carmona (Sevilla),José María Moreno,1850-1859,Relaciones,Profano,https://desenrollandoelcordel.unige.ch/Pliegos/Moreno_227.xml
705,Moreno_227,Granaa,Q8810,Pueblos/ciudades/regiones,"37.178055555556,-3.6008333333333",Granada,37.178055555556,-3.6008333333333,Nueva relación jocosa del patán de Sevilla,Carmona (Sevilla),José María Moreno,1850-1859,Relaciones,Profano,https://desenrollandoelcordel.unige.ch/Pliegos/Moreno_227.xml
707,Moreno_233,Inglaterra,Q21,Países/reinos/imperios/continentes,"53,-1",Inglaterra,53,-1,"Condiciones, vicios y propiedades de las señoras mugeres",Carmona (Sevilla),José María Moreno,1850-1859,Romances,Profano,https://desenrollandoelcordel.unige.ch/Pliegos/Moreno_233.xml
708,Moreno_233,Ginebra,Q71,Pueblos/ciudades/regiones,"46.2,6.15",Ginebra,46.2,6.15,"Condiciones, vicios y propiedades de las señoras mugeres",Carmona (Sevilla),José María Moreno,1850-1859,Romances,Profano,https://desenrollandoelcordel.unige.ch/Pliegos/Moreno_233.xml
689,Moreno_025,Belén,Q5776,Pueblos/ciudades/regiones,"31.704444444444,35.206111111111",Belén,31.704444444444,35.206111111111,Coplas al Santísimo Nacimiento del Niño de Dios,Carmona (Sevilla),José María Moreno,1850-1859,Coplas,Sagrado,https://desenrollandoelcordel.unige.ch/Pliegos/Moreno_025.xml
690,Moreno_025,Belén,Q5776,Pueblos/ciudades/regiones,"31.704444444444,35.206111111111",Belén,31.704444444444,35.206111111111,Coplas al Santísimo Nacimiento del Niño de Dios,Carmona (Sevilla),José María Moreno,1850-1859,Coplas,Sagrado,https://desenrollandoelcordel.unige.ch/Pliegos/Moreno_025.xml
691,Moreno_025,Belén,Q5776,Pueblos/ciudades/regiones,"31.704444444444,35.206111111111",Belén,31.704444444444,35.206111111111,Coplas al Santísimo Nacimiento del Niño de Dios,Carmona (Sevilla),José María Moreno,1850-1859,Coplas,Sagrado,https://desenrollandoelcordel.unige.ch/Pliegos/Moreno_025.xml
692,Moreno_025,Belén,Q5776,Pueblos/ciudades/regiones,"31.704444444444,35.206111111111",Belén,31.704444444444,35.206111111111,Coplas al Santísimo Nacimiento del Niño de Dios,Carmona (Sevilla),José María Moreno,1850-1859,Coplas,Sagrado,https://desenrollandoelcordel.unige.ch/Pliegos/Moreno_025.xml
693,Moreno_025,Belén,Q5776,Pueblos/ciudades/regiones,"31.704444444444,35.206111111111",Belén,31.704444444444,35.206111111111,Coplas al Santísimo Nacimiento del Niño de Dios,Carmona (Sevilla),José María Moreno,1850-1859,Coplas,Sagrado,https://desenrollandoelcordel.unige.ch/Pliegos/Moreno_025.xml
