Column,id_doc,original_name,id_wkd,type_place,coord_wkd,normalized_name
0,Moreno_127,Ungría,Q28,País/reinos/imperios/continentes,"47,19",Hungría
1,Moreno_127,Ungria,Q28,País/reinos/imperios/continentes,"47,19",Hungría
2,Moreno_127,España,Q29,País/reinos/imperios/continentes,"40.2,-3.5",España
3,Moreno_127,Españá,Q29,País/reinos/imperios/continentes,"40.2,-3.5",España
4,Moreno_133,Versalles,Q621,Pueblos/ciudades/regiones ,"48.804722222222,2.1341666666667",Versalles
5,Moreno_133,Lóndres,Q84,Pueblos/ciudades/regiones ,"51.507222222222,-0.1275",Londres
6,Moreno_133,Inglaterra,Q21,País/reinos/imperios/continentes,"54.6,-2",Inglaterra
7,Moreno_133,Aranjuéz,Q486792,Pueblos/ciudades/regiones ,"40.033333333333,-3.6027777777778",Aranjuez
8,Moreno_133,Escorial,Q28471,Monumentos/edificios,"40.589167,-4.147778",Real Monasterio de San Lorenzo de El Escorial
9,Moreno_133,Madrid,Q2807,Pueblos/ciudades/regiones ,"40.41694444444445,-3.703333333333333",Madrid
10,Moreno_133,Murcia,Q12225,Pueblos/ciudades/regiones ,"37.986111111111,-1.1302777777778",Madrid
11,Moreno_319,Valencia,Q8818,Pueblos/ciudades/regiones ,"39.47,-0.3763888888888889",Valencia
12,Moreno_319,Valencia,Q8818,Pueblos/ciudades/regiones ,"39.47,-0.3763888888888889",Valencia
13,Moreno_319,Chipre,Q229,País/reinos/imperios/continentes,"35,33",Chipre
14,Moreno_319,Valencia,Q8818,Pueblos/ciudades/regiones ,"39.47,-0.3763888888888889",Valencia
15,Moreno_319,Córdoba,Q5818,Pueblos/ciudades/regiones,"37.883333333333,-4.7666666666667",Córdoba
16,Moreno_319,Nápoles,Q2634,Pueblos/ciudades/regiones,"40.833333333333,14.25",Nápoles
17,Moreno_319,España,Q29,País/reinos/imperios/continentes,"40.2,-3.5",España
18,Moreno_319,Nápoles,Q2634,Pueblos/ciudades/regiones ,"40.833333333333,14.25",Nápoles
19,Moreno_319,Aragon,Q4040,Pueblos/ciudades/regiones ,"41,-1",Aragón
21,Moreno_319,Roma,Q220,Pueblos/ciudades/regiones ,"41.893055555556,12.482777777778",Roma
22,Moreno_319,Milan,Q490,Pueblos/ciudades/regiones ,"45.466944444444,9.19",Milán
23,Moreno_319,España,Q29,País/reinos/imperios/continentes,"40.2,-3.5",España
24,Moreno_319,España,Q29,País/reinos/imperios/continentes,"40.2,-3.5",España
26,Moreno_319,Roma,Q220,Pueblos/ciudades/regiones ,"41.893055555556,12.482777777778",Roma
27,Moreno_325,calle de Hortaleza ,Q2807,Pueblos/ciudades/regiones ,"40.41694444444445,-3.703333333333333",Madrid
28,Moreno_325,MADRID,Q2807,Pueblos/ciudades/regiones ,"40.41694444444445,-3.703333333333333",Madrid
